DAE7487;13/06/2022;10:19;1;1;7,5;7,5
XAA7484;13/06/2022;10:20;1;1;7,5;7,5
DAE7486;13/06/2022;10:23;4;1;7,5;7,5
DAE7484;13/06/2022;10:23;4;1;7,5;7,5
DAE7485;13/06/2022;10:23;4;1;7,5;7,5
XAA7484;13/06/2022;10:23;3;1;7,5;7,5
DAE7454;13/06/2022;10:31;1;1;7,5;7,5
EEEEEEE;13/06/2022;10:52;2;1;7,5;7,5
DAE7484;13/06/2022;11:05;42;1;7,5;7,5
DAE7485;13/06/2022;11:06;42;1;7,5;7,5
DAE7486;13/06/2022;11:06;42;1;7,5;7,5
DAE7487;13/06/2022;11:06;43;1;7,5;7,5
DAE7488;13/06/2022;11:06;43;1;7,5;7,5
DAE7489;13/06/2022;11:06;43;1;7,5;7,5
1111111;13/06/2022;11:07;18;1;7,5;7,5
4444444;13/06/2022;11:07;18;1;7,5;7,5
2222222;13/06/2022;11:07;18;1;7,5;7,5
5555555;13/06/2022;11:07;18;1;7,5;7,5
6666666;13/06/2022;11:07;18;1;7,5;7,5
9999999;13/06/2022;11:07;19;1;7,5;7,5
8888888;13/06/2022;11:07;19;1;7,5;7,5
QQQQQQQ;13/06/2022;11:07;17;1;7,5;7,5
WWWWWWW;13/06/2022;11:07;17;1;7,5;7,5
EEEEEEE;13/06/2022;11:08;12;1;7,5;7,5
YYYYYYY;13/06/2022;11:08;12;1;7,5;7,5
UUUUUUU;13/06/2022;11:08;12;1;7,5;7,5
OOOOOOO;13/06/2022;11:08;11;1;7,5;7,5
IIIIIII;13/06/2022;11:08;12;1;7,5;7,5
PPPPPPP;13/06/2022;11:08;12;1;7,5;7,5
AAAAAAA;13/06/2022;11:08;12;1;7,5;7,5
SSSSSSS;13/06/2022;11:09;12;1;7,5;7,5
DDDDDDD;13/06/2022;11:09;12;1;7,5;7,5
FFFFFFF;13/06/2022;11:09;12;1;7,5;7,5
GGGGGGG;13/06/2022;11:09;12;1;7,5;7,5
HHHHHHH;13/06/2022;11:09;12;1;7,5;7,5
JJJJJJJ;13/06/2022;11:09;13;1;7,5;7,5
KKKKKKK;13/06/2022;11:10;13;1;7,5;7,5
ÇÇÇÇÇÇÇ;13/06/2022;11:10;8;1;7,5;7,5
\\\\\\\;13/06/2022;11:10;8;1;7,5;7,5
ZZZZZZZ;13/06/2022;11:10;9;1;7,5;7,5
XXXXXXX;13/06/2022;11:10;9;1;7,5;7,5
CCCCCCC;13/06/2022;11:10;9;1;7,5;7,5
VVVVVVV;13/06/2022;11:11;9;1;7,5;7,5
BBBBBBB;13/06/2022;11:11;9;1;7,5;7,5
NNNNNNN;13/06/2022;11:11;9;1;7,5;7,5
MMMMMMM;13/06/2022;11:11;9;1;7,5;7,5
1QQQQQQ;13/06/2022;11:11;9;1;7,5;7,5
1WWWWWW;13/06/2022;11:11;10;1;7,5;7,5
Q222222;13/06/2022;11:11;10;1;7,5;7,5
Q333333;13/06/2022;11:11;10;1;7,5;7,5
Q444444;13/06/2022;11:11;9;1;7,5;7,5
A555555;13/06/2022;11:11;9;1;7,5;7,5
Q555555;13/06/2022;11:12;9;1;7,5;7,5
Q666666;13/06/2022;11:12;9;1;7,5;7,5
Q777777;13/06/2022;11:12;8;1;7,5;7,5
Q888888;13/06/2022;11:12;8;1;7,5;7,5
Q999999;13/06/2022;11:12;9;1;7,5;7,5
QSSSSSS;13/06/2022;11:12;9;1;7,5;7,5
